ID,Category_ID,Name,DOP_Refrigerate_Min,DOP_Refrigerate_Max,DOP_Freeze_Min,DOP_Freeze_Max,Safe_Minimum_Temperature
1,7,Butter,1.0,2.0,6.0,9.0,5
2,7,Buttermilk,1.0,2.0,3.0,3.0,5
3,7,Cheese,6.0,6.0,6.0,6.0,5
4,7,Cheese,12.0,12.0,,,5
5,7,Cheese,1.0,1.0,3.0,4.0,5
6,7,Cheese,3.0,4.0,,,5
7,7,Cheese,1.0,2.0,6.0,6.0,5
8,7,Coffee creamer,3.0,3.0,,,5
9,7,Cottage cheese,2.0,2.0,,,5
10,7,Cream cheese,2.0,2.0,,,5
11,7,Cream,1.0,1.0,,,5
12,7,Cream,,,,,5
13,7,Cream,3.0,4.0,4.0,4.0,5
14,7,Cream,10.0,10.0,3.0,4.0,5
15,7,Cream,1.0,1.0,3.0,4.0,5
16,7,Dips,2.0,2.0,,,5
17,7,Egg substitutes,7.0,7.0,,,5
20,7,Eggnog,3.0,5.0,6.0,6.0,5
21,7,Eggs,3.0,5.0,,,5
22,7,Eggs,,,,,5
23,7,Eggs,,,,,5
24,7,Egg dishes,,,,,5
25,7,Kefir,1.0,1.0,,,5
26,7,Margarine,6.0,6.0,12.0,12.0,5
27,7,Milk,,,3.0,3.0,5
28,7,Pudding,,,,,5
29,7,Sour cream,,,,,5
30,7,Whipped cream,3.0,4.0,,,5
31,7,Whipped topping,3.0,3.0,,,5
32,7,Whipped topping,2.0,2.0,,,5
33,7,Yogurt,1.0,2.0,,,5
34,10,Beef,3.0,5.0,4.0,12.0,5
35,10,Beef,3.0,5.0,4.0,12.0,5
36,10,Beef,3.0,5.0,4.0,12.0,5
37,10,Beef,3.0,5.0,4.0,12.0,5
38,10,Beef,3.0,5.0,4.0,12.0,5
39,10,Beef,3.0,5.0,4.0,12.0,5
40,10,Beef,3.0,5.0,4.0,12.0,5
41,10,Beef,3.0,5.0,4.0,12.0,5
42,10,Beef,3.0,5.0,4.0,12.0,5
43,10,Beef,1.0,2.0,3.0,4.0,5
44,10,Lamb,3.0,5.0,4.0,12.0,5
45,10,Lamb,3.0,5.0,4.0,12.0,5
46,10,Lamb,3.0,5.0,4.0,12.0,5
47,10,Lamb,3.0,5.0,4.0,12.0,5
48,10,Lamb,3.0,5.0,4.0,12.0,5
49,10,Lamb,3.0,5.0,4.0,12.0,5
50,10,Lamb,1.0,2.0,3.0,4.0,5
51,10,Lamb,3.0,5.0,4.0,12.0,5
52,10,Lamb,3.0,5.0,4.0,12.0,5
53,10,Lamb,3.0,5.0,4.0,12.0,5
54,10,Lamb,3.0,5.0,4.0,12.0,5
55,10,Lamb,3.0,5.0,4.0,12.0,5
56,10,Veal,3.0,5.0,4.0,12.0,5
57,10,Veal,3.0,5.0,4.0,12.0,5
58,10,Veal,3.0,5.0,4.0,12.0,5
59,10,Veal,1.0,2.0,3.0,4.0,5
60,10,Pork,3.0,5.0,4.0,12.0,5
61,10,Pork,3.0,5.0,4.0,12.0,5
63,10,Pork,3.0,5.0,4.0,12.0,5
64,10,Pork,3.0,5.0,4.0,12.0,5
65,10,Pork,3.0,5.0,4.0,12.0,5
66,10,Pork,3.0,5.0,4.0,12.0,5
67,10,Pork,3.0,5.0,4.0,12.0,5
69,10,Pork,3.0,5.0,4.0,12.0,5
70,10,Goat,3.0,5.0,4.0,12.0,5
71,10,Goat,3.0,5.0,4.0,12.0,5
72,10,Pork,3.0,5.0,4.0,12.0,5
73,10,Pork,1.0,2.0,3.0,4.0,5
74,10,Pork,3.0,5.0,4.0,12.0,5
75,10,Pork,3.0,5.0,4.0,12.0,5
76,10,Venison,3.0,5.0,4.0,12.0,5
77,10,Variety meats,1.0,2.0,3.0,4.0,5
78,10,Goat,1.0,2.0,3.0,4.0,5
79,12,Bacon,1.0,1.0,1.0,1.0,5
81,12,Corned beef,5.0,7.0,1.0,1.0,5
82,12,Ham,6.0,9.0,,,5
83,12,Ham,1.0,1.0,1.0,2.0,5
84,12,Ham,1.0,1.0,1.0,2.0,5
85,12,Ham,3.0,4.0,1.0,2.0,5
86,12,Ham,1.0,1.0,1.0,2.0,5
87,12,Ham,6.0,9.0,1.0,2.0,5
88,12,Ham,2.0,2.0,1.0,2.0,5
89,12,Ham,1.0,1.0,1.0,2.0,5
90,12,Ham,1.0,1.0,1.0,2.0,5
91,12,Ham,1.0,1.0,1.0,2.0,5
92,12,Ham,1.0,1.0,1.0,2.0,5
93,12,Ham,1.0,1.0,1.0,2.0,5
94,12,Ham,1.0,1.0,1.0,2.0,5
95,12,Ham,1.0,1.0,1.0,2.0,5
96,12,Ham,1.0,1.0,1.0,2.0,5
97,12,Ham,1.0,1.0,1.0,2.0,5
98,12,Hot dogs,2.0,2.0,1.0,2.0,5
102,12,Sausage,1.0,2.0,1.0,2.0,5
103,12,Sausage,1.0,1.0,1.0,2.0,5
104,12,Sausage,2.0,3.0,1.0,2.0,5
105,13,"Stuffed, raw pork chops",1.0,2.0,9.0,9.0,5
106,13,Raw kabobs with vegetables,1.0,2.0,3.0,4.0,5
107,11,Bacon,,,,,5
108,11,Ham,,,,,5
109,11,Jerky,,,,,5
110,11,Jerky,,,,,5
111,11,Meat products,,,,,5
112,11,Retort pouches or boxes,,,,,5
113,15,Chicken,1.0,2.0,12.0,12.0,5
114,15,Turkey,1.0,2.0,12.0,12.0,5
115,15,Ground turkey or chicken,1.0,2.0,3.0,4.0,5
116,15,Chicken parts,1.0,2.0,9.0,9.0,5
117,15,Chicken parts,1.0,2.0,9.0,9.0,5
118,15,Chicken parts,1.0,2.0,9.0,9.0,5
119,15,Turkey parts,1.0,2.0,9.0,9.0,5
120,15,Turkey parts,1.0,2.0,9.0,9.0,5
121,15,Turkey parts,1.0,2.0,9.0,9.0,5
123,15,Duckling,1.0,2.0,6.0,6.0,5
125,15,Goose,1.0,2.0,6.0,6.0,5
126,15,Pheasant,1.0,2.0,6.0,6.0,5
127,15,Quail,1.0,2.0,6.0,6.0,5
128,15,Capon,1.0,2.0,12.0,12.0,5
129,15,Cornish Hens,1.0,2.0,12.0,12.0,5
130,15,Giblets,1.0,2.0,3.0,4.0,5
131,17,"Stuffed, raw chicken breasts",,,,,5
132,17,Raw kabobs with vegetables,,,,,5
133,17,Turducken,,,9.0,9.0,5
134,14,"Chicken nuggets, patties",,,1.0,3.0,5
135,14,Cooked poultry dishes,,,,,5
136,14,Fried chicken,,,,,5
140,25,Poultry pieces,,,,,5
141,14,Rotisserie chicken,3.0,4.0,4.0,4.0,5
142,16,Canned chicken,,,,,5
143,16,Retort pouches or boxes,,,,,5
144,20,Lean fish,1.0,2.0,6.0,8.0,5
145,20,Lean fish,1.0,2.0,4.0,8.0,5
146,20,Fatty fish,1.0,2.0,2.0,3.0,5
147,20,Caviar,1.0,4.0,,,5
148,20,Cooked fish,,,,,5
149,20,Surimi seafood,,,9.0,9.0,5
150,21,Scallops,1.0,3.0,6.0,18.0,5
151,21,"Shrimp, crayfish",1.0,3.0,6.0,18.0,5
152,21,Squid,1.0,3.0,6.0,18.0,5
153,21,"Shucked clams, mussels, and oysters",3.0,10.0,3.0,4.0,5
154,21,Crab meat,,,,,5
155,21,Crab meat,10.0,12.0,4.0,10.0,5
156,21,Crab legs,2.0,4.0,9.0,12.0,5
157,21,"Live clams, mussels, crab, and oysters",1.0,2.0,2.0,3.0,5
158,21,Fresh whole lobster,1.0,1.0,,,5
159,21,Fresh lobster tails,2.0,3.0,2.0,4.0,5
160,21,"Fresh clams, mussels, oysters",5.0,10.0,,,5
161,21,Fresh whole lobster,1.0,2.0,2.0,4.0,5
162,21,Cooked shellfish,,,1.0,3.0,5
163,22,Herring,4.0,6.0,,,5
164,22,Fish,14.0,45.0,9.0,12.0,5
165,22,Fish,14.0,45.0,6.0,12.0,5
166,22,Fish,14.0,30.0,9.0,12.0,5
167,22,Fish,21.0,30.0,9.0,12.0,5
168,24,Tofu,1.0,1.0,5.0,5.0,5
169,24,Miso,1.0,1.0,,,5
170,24,Soy flour,6.0,6.0,,,5
171,24,Textured soy protein,,,,,5
172,24,Re-hydrated textured soy protein,,,,,5
173,25,Leftovers,,,,,5
174,25,Leftovers,,,,,5
175,25,Leftovers,,,,,5
176,25,Commercial brand vacuum-packed dinners,2.0,2.0,,,5
177,25,Cooked pasta,,,,,5
178,25,Cooked rice,,,,,5
179,25,"Fruit, cut",,,,,5
180,25,Guacamole,,,,,5
181,25,Hummus,3.0,3.0,,,5
183,25,Hummus,,,,,5
184,25,Luncheon meat or poultry,3.0,5.0,,,5
185,25,Main dishes or meals,3.0,4.0,,,5
186,25,Meats,,,,,5
187,25,Olives,2.0,2.0,,,5
188,25,Pate,1.0,2.0,,,5
192,25,Luncheon meat or poultry,2.0,2.0,1.0,2.0,5
193,25,"Soup, stews",,,,,5
194,25,Casseroles,,,,,5
195,2,Commercial bread products,,,3.0,5.0,5
196,9,Tortillas,,,6.0,6.0,5
197,2,Commercial cakes and muffins,,,6.0,6.0,5
198,2,Cheesecake,,,3.0,6.0,5
199,2,Cookies,,,8.0,12.0,5
200,2,Cookies,,,8.0,12.0,5
201,2,Dairy filled eclairs,,,3.0,3.0,5
202,2,Doughnuts,,,,,5
203,2,Fruit cake,,,12.0,12.0,5
204,2,"Pastries, danish",,,,,5
205,2,Cream pies,,,,,5
206,2,Chiffon pies,,,,,5
207,2,Fruit pies,,,,,5
208,2,Pies,,,,,5
209,2,Pies,,,,,5
210,2,Pies,,,,,5
211,2,Quiche,,,,,5
212,3,Baking powder,,,,,5
213,3,Baking soda,,,,,5
214,3,Biscuit or pancake mix,,,,,5
215,3,"Cake, brownie, bread mixes",,,,,5
216,3,Chocolate,,,,,5
217,3,Cocoa and cocoa mixes,,,,,5
218,3,Cornmeal,,,,,5
219,3,Cornmeal,,,,,5
220,3,Cornstarch,,,,,5
222,3,Flour,,,,,5
223,3,Flour,,,,,5
224,3,Frosting or icing,,,,,5
225,3,Gelatin,,,,,5
226,3,Gelatin,,,,,5
227,3,Oils,,,,,5
228,3,Nut oils,,,,,5
229,3,Vegetable oil sprays,,,,,5
230,3,Shortening,,,,,5
231,3,Tamarind paste,,,,,5
232,3,Chili powder,,,,,5
233,3,Seasoning blends,,,,,5
234,3,Flavored or herb mixes,,,,,5
235,3,Garlic,,,,,5
236,3,Herbs,,,,,5
237,3,Spice/spices,,,,,5
