ID,Category_ID,Name,DOP_Refrigerate_Min,DOP_Refrigerate_Max,DOP_Freeze_Min,DOP_Freeze_Max,Safe_Minimum_Temperature,Current_Temperature,Current_Humidity
1,7,Butter,1.0,2.0,6.0,9.0,5,19.3,14.7
2,7,Buttermilk,1.0,2.0,3.0,3.0,5,19.3,14.7
3,7,Cheese,6.0,6.0,6.0,6.0,5,19.3,14.7
4,7,Cheese,12.0,12.0,,,5,19.3,14.7
5,7,Cheese,1.0,1.0,3.0,4.0,5,19.3,14.7
6,7,Cheese,3.0,4.0,,,5,19.3,14.7
7,7,Cheese,1.0,2.0,6.0,6.0,5,19.3,14.7
8,7,Coffee creamer,3.0,3.0,,,5,19.3,14.7
9,7,Cottage cheese,2.0,2.0,,,5,19.3,14.7
10,7,Cream cheese,2.0,2.0,,,5,19.3,14.7
11,7,Cream,1.0,1.0,,,5,19.3,14.7
12,7,Cream,,,,,5,19.3,14.7
13,7,Cream,3.0,4.0,4.0,4.0,5,19.3,14.7
14,7,Cream,10.0,10.0,3.0,4.0,5,19.3,14.7
15,7,Cream,1.0,1.0,3.0,4.0,5,19.3,14.7
16,7,Dips,2.0,2.0,,,5,19.3,14.7
17,7,Egg substitutes,7.0,7.0,,,5,19.3,14.7
20,7,Eggnog,3.0,5.0,6.0,6.0,5,19.3,14.7
21,7,Eggs,3.0,5.0,,,5,19.3,14.7
22,7,Eggs,,,,,5,19.3,14.7
23,7,Eggs,,,,,5,19.3,14.7
24,7,Egg dishes,,,,,5,19.3,14.7
25,7,Kefir,1.0,1.0,,,5,19.3,14.7
26,7,Margarine,6.0,6.0,12.0,12.0,5,19.3,14.7
27,7,Milk,,,3.0,3.0,5,19.3,14.7
28,7,Pudding,,,,,5,19.3,14.7
29,7,Sour cream,,,,,5,19.3,14.7
30,7,Whipped cream,3.0,4.0,,,5,19.3,14.7
31,7,Whipped topping,3.0,3.0,,,5,19.3,14.7
32,7,Whipped topping,2.0,2.0,,,5,19.3,14.7
33,7,Yogurt,1.0,2.0,,,5,19.3,14.7
34,10,Beef,3.0,5.0,4.0,12.0,5,19.3,14.7
35,10,Beef,3.0,5.0,4.0,12.0,5,19.3,14.7
36,10,Beef,3.0,5.0,4.0,12.0,5,19.3,14.7
37,10,Beef,3.0,5.0,4.0,12.0,5,19.3,14.7
38,10,Beef,3.0,5.0,4.0,12.0,5,19.3,14.7
39,10,Beef,3.0,5.0,4.0,12.0,5,19.3,14.7
40,10,Beef,3.0,5.0,4.0,12.0,5,19.3,14.7
41,10,Beef,3.0,5.0,4.0,12.0,5,19.3,14.7
42,10,Beef,3.0,5.0,4.0,12.0,5,19.3,14.7
43,10,Beef,1.0,2.0,3.0,4.0,5,19.3,14.7
44,10,Lamb,3.0,5.0,4.0,12.0,5,19.3,14.7
45,10,Lamb,3.0,5.0,4.0,12.0,5,19.3,14.7
46,10,Lamb,3.0,5.0,4.0,12.0,5,19.3,14.7
47,10,Lamb,3.0,5.0,4.0,12.0,5,19.3,14.7
48,10,Lamb,3.0,5.0,4.0,12.0,5,19.3,14.7
49,10,Lamb,3.0,5.0,4.0,12.0,5,19.3,14.7
50,10,Lamb,1.0,2.0,3.0,4.0,5,19.3,14.7
51,10,Lamb,3.0,5.0,4.0,12.0,5,19.3,14.7
52,10,Lamb,3.0,5.0,4.0,12.0,5,19.3,14.7
53,10,Lamb,3.0,5.0,4.0,12.0,5,19.3,14.7
54,10,Lamb,3.0,5.0,4.0,12.0,5,19.3,14.7
55,10,Lamb,3.0,5.0,4.0,12.0,5,19.3,14.7
56,10,Veal,3.0,5.0,4.0,12.0,5,19.3,14.7
57,10,Veal,3.0,5.0,4.0,12.0,5,19.3,14.7
58,10,Veal,3.0,5.0,4.0,12.0,5,19.3,14.7
59,10,Veal,1.0,2.0,3.0,4.0,5,19.3,14.7
60,10,Pork,3.0,5.0,4.0,12.0,5,19.3,14.7
61,10,Pork,3.0,5.0,4.0,12.0,5,19.3,14.7
63,10,Pork,3.0,5.0,4.0,12.0,5,19.3,14.7
64,10,Pork,3.0,5.0,4.0,12.0,5,19.3,14.7
65,10,Pork,3.0,5.0,4.0,12.0,5,19.3,14.7
66,10,Pork,3.0,5.0,4.0,12.0,5,19.3,14.7
67,10,Pork,3.0,5.0,4.0,12.0,5,19.3,14.7
69,10,Pork,3.0,5.0,4.0,12.0,5,19.3,14.7
70,10,Goat,3.0,5.0,4.0,12.0,5,19.3,14.7
71,10,Goat,3.0,5.0,4.0,12.0,5,19.3,14.7
72,10,Pork,3.0,5.0,4.0,12.0,5,19.3,14.7
73,10,Pork,1.0,2.0,3.0,4.0,5,19.3,14.7
74,10,Pork,3.0,5.0,4.0,12.0,5,19.3,14.7
75,10,Pork,3.0,5.0,4.0,12.0,5,19.3,14.7
76,10,Venison,3.0,5.0,4.0,12.0,5,19.3,14.7
77,10,Variety meats,1.0,2.0,3.0,4.0,5,19.3,14.7
78,10,Goat,1.0,2.0,3.0,4.0,5,19.3,14.7
79,12,Bacon,1.0,1.0,1.0,1.0,5,19.3,14.7
81,12,Corned beef,5.0,7.0,1.0,1.0,5,19.3,14.7
82,12,Ham,6.0,9.0,,,5,19.3,14.7
83,12,Ham,1.0,1.0,1.0,2.0,5,19.3,14.7
84,12,Ham,1.0,1.0,1.0,2.0,5,19.3,14.7
85,12,Ham,3.0,4.0,1.0,2.0,5,19.3,14.7
86,12,Ham,1.0,1.0,1.0,2.0,5,19.3,14.7
87,12,Ham,6.0,9.0,1.0,2.0,5,19.3,14.7
88,12,Ham,2.0,2.0,1.0,2.0,5,19.3,14.7
89,12,Ham,1.0,1.0,1.0,2.0,5,19.3,14.7
90,12,Ham,1.0,1.0,1.0,2.0,5,19.3,14.7
91,12,Ham,1.0,1.0,1.0,2.0,5,19.3,14.7
92,12,Ham,1.0,1.0,1.0,2.0,5,19.3,14.7
93,12,Ham,1.0,1.0,1.0,2.0,5,19.3,14.7
94,12,Ham,1.0,1.0,1.0,2.0,5,19.3,14.7
95,12,Ham,1.0,1.0,1.0,2.0,5,19.3,14.7
96,12,Ham,1.0,1.0,1.0,2.0,5,19.3,14.7
97,12,Ham,1.0,1.0,1.0,2.0,5,19.3,14.7
98,12,Hot dogs,2.0,2.0,1.0,2.0,5,19.3,14.7
102,12,Sausage,1.0,2.0,1.0,2.0,5,19.3,14.7
103,12,Sausage,1.0,1.0,1.0,2.0,5,19.3,14.7
104,12,Sausage,2.0,3.0,1.0,2.0,5,19.3,14.7
105,13,"Stuffed, raw pork chops",1.0,2.0,9.0,9.0,5,19.3,14.7
106,13,Raw kabobs with vegetables,1.0,2.0,3.0,4.0,5,19.3,14.7
107,11,Bacon,,,,,5,19.3,14.7
108,11,Ham,,,,,5,19.3,14.7
109,11,Jerky,,,,,5,19.3,14.7
110,11,Jerky,,,,,5,19.3,14.7
111,11,Meat products,,,,,5,19.3,14.7
112,11,Retort pouches or boxes,,,,,5,19.3,14.7
113,15,Chicken,1.0,2.0,12.0,12.0,5,19.3,14.7
114,15,Turkey,1.0,2.0,12.0,12.0,5,19.3,14.7
115,15,Ground turkey or chicken,1.0,2.0,3.0,4.0,5,19.3,14.7
116,15,Chicken parts,1.0,2.0,9.0,9.0,5,19.3,14.7
117,15,Chicken parts,1.0,2.0,9.0,9.0,5,19.3,14.7
118,15,Chicken parts,1.0,2.0,9.0,9.0,5,19.3,14.7
119,15,Turkey parts,1.0,2.0,9.0,9.0,5,19.3,14.7
120,15,Turkey parts,1.0,2.0,9.0,9.0,5,19.3,14.7
121,15,Turkey parts,1.0,2.0,9.0,9.0,5,19.3,14.7
123,15,Duckling,1.0,2.0,6.0,6.0,5,19.3,14.7
125,15,Goose,1.0,2.0,6.0,6.0,5,19.3,14.7
126,15,Pheasant,1.0,2.0,6.0,6.0,5,19.3,14.7
127,15,Quail,1.0,2.0,6.0,6.0,5,19.3,14.7
128,15,Capon,1.0,2.0,12.0,12.0,5,19.3,14.7
129,15,Cornish Hens,1.0,2.0,12.0,12.0,5,19.3,14.7
130,15,Giblets,1.0,2.0,3.0,4.0,5,19.3,14.7
131,17,"Stuffed, raw chicken breasts",,,,,5,19.3,14.7
132,17,Raw kabobs with vegetables,,,,,5,19.3,14.7
133,17,Turducken,,,9.0,9.0,5,19.3,14.7
134,14,"Chicken nuggets, patties",,,1.0,3.0,5,19.3,14.7
135,14,Cooked poultry dishes,,,,,5,19.3,14.7
136,14,Fried chicken,,,,,5,19.3,14.7
140,25,Poultry pieces,,,,,5,19.3,14.7
141,14,Rotisserie chicken,3.0,4.0,4.0,4.0,5,19.3,14.7
142,16,Canned chicken,,,,,5,19.3,14.7
143,16,Retort pouches or boxes,,,,,5,19.3,14.7
144,20,Lean fish,1.0,2.0,6.0,8.0,5,19.3,14.7
145,20,Lean fish,1.0,2.0,4.0,8.0,5,19.3,14.7
146,20,Fatty fish,1.0,2.0,2.0,3.0,5,19.3,14.7
147,20,Caviar,1.0,4.0,,,5,19.3,14.7
148,20,Cooked fish,,,,,5,19.3,14.7
149,20,Surimi seafood,,,9.0,9.0,5,19.3,14.7
150,21,Scallops,1.0,3.0,6.0,18.0,5,19.3,14.7
151,21,"Shrimp, crayfish",1.0,3.0,6.0,18.0,5,19.3,14.7
152,21,Squid,1.0,3.0,6.0,18.0,5,19.3,14.7
153,21,"Shucked clams, mussels, and oysters",3.0,10.0,3.0,4.0,5,19.3,14.7
154,21,Crab meat,,,,,5,19.3,14.7
155,21,Crab meat,10.0,12.0,4.0,10.0,5,19.3,14.7
156,21,Crab legs,2.0,4.0,9.0,12.0,5,19.3,14.7
157,21,"Live clams, mussels, crab, and oysters",1.0,2.0,2.0,3.0,5,19.3,14.7
158,21,Fresh whole lobster,1.0,1.0,,,5,19.3,14.7
159,21,Fresh lobster tails,2.0,3.0,2.0,4.0,5,19.3,14.7
160,21,"Fresh clams, mussels, oysters",5.0,10.0,,,5,19.3,14.7
161,21,Fresh whole lobster,1.0,2.0,2.0,4.0,5,19.3,14.7
162,21,Cooked shellfish,,,1.0,3.0,5,19.3,14.7
163,22,Herring,4.0,6.0,,,5,19.3,14.7
164,22,Fish,14.0,45.0,9.0,12.0,5,19.3,14.7
165,22,Fish,14.0,45.0,6.0,12.0,5,19.3,14.7
166,22,Fish,14.0,30.0,9.0,12.0,5,19.3,14.7
167,22,Fish,21.0,30.0,9.0,12.0,5,19.3,14.7
168,24,Tofu,1.0,1.0,5.0,5.0,5,19.3,14.7
169,24,Miso,1.0,1.0,,,5,19.3,14.7
170,24,Soy flour,6.0,6.0,,,5,19.3,14.7
171,24,Textured soy protein,,,,,5,19.3,14.7
172,24,Re-hydrated textured soy protein,,,,,5,19.3,14.7
173,25,Leftovers,,,,,5,19.3,14.7
174,25,Leftovers,,,,,5,19.3,14.7
175,25,Leftovers,,,,,5,19.3,14.7
176,25,Commercial brand vacuum-packed dinners,2.0,2.0,,,5,19.3,14.7
177,25,Cooked pasta,,,,,5,19.3,14.7
